Genres List,Image Book Cover Url,Book Title,Author Name,Rating,No Of Rating,Amazon Link,No Of Pages,Detail Url
"Young Adult, Dystopia, Fantasy, Fiction, Science Fiction, Romance, Teen",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1618526890i/13335037.jpg,Divergent,Veronica Roth,4.14,4229207,https://www.amazon.com/gp/product/B00I2PH5V2/,487,https://www.goodreads.com/book/show/13335037-divergent
"Fiction, Historical Fiction, Romance, Historical, Book Club, Adult, Novels",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1409595968i/929.jpg,Memoirs of a Geisha,Arthur Golden,4.16,2065895,https://www.amazon.com/gp/product/B000FCKMEM/,503,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha
"Fiction, Mystery, Thriller, Mystery Thriller, Historical Fiction, Suspense, Adventure",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1720313229i/968.jpg,The da Vinci Code,Dan    Brown,3.93,2450513,https://www.amazon.com/gp/product/B000FA675C/,489,https://www.goodreads.com/book/show/968.The_da_Vinci_Code
"Classics, Fiction, Young Adult, Historical Fiction, Childrens, Middle Grade, Audiobook",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1615094578i/8127.jpg,Anne of Green Gables,L.M. Montgomery,4.32,1059343,https://www.amazon.com/gp/product/B00B7NPRH0/,320,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables
"Fiction, Fantasy, Philosophy, Self Help, Book Club, Novels, Spirituality",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1483412266i/865.jpg,The Alchemist,Paulo Coelho,3.92,3353690,https://www.amazon.com/gp/product/B00U6SFUSS/,197,https://www.goodreads.com/book/show/865.The_Alchemist
"Fiction, School, Historical Fiction, Romance, Literature, Novels, Read For School",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1738790966i/4671.jpg,The Great Gatsby,F. Scott Fitzgerald,3.93,5624409,https://www.amazon.com/gp/product/B0F237J2YH/,180,https://www.goodreads.com/book/show/4671.The_Great_Gatsby
"Young Adult, Fiction, Fantasy, Science Fiction, Audiobook, Book Club, Teen",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1586722975i/2767052.jpg,The Hunger Games,Suzanne Collins,4.34,9375868,https://www.amazon.com/gp/product/B002MQYOFW/,374,https://www.goodreads.com/book/show/2767052-the-hunger-games
"Fiction, Historical Fiction, Literature, France, Historical, Novels, French Literature",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1411852091i/24280.jpg,Les Misérables,Victor Hugo,4.21,825646,https://www.amazon.com/gp/product/B004GHNIRK/,1463,https://www.goodreads.com/book/show/24280.Les_Mis_rables
"Fiction, Russia, Russian Literature, Literature, Philosophy, Novels, Crime",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1382846449i/7144.jpg,Crime and Punishment,Fyodor Dostoevsky,4.28,997492,https://www.amazon.com/gp/product/B07TT8J27N/,671,https://www.goodreads.com/book/show/7144.Crime_and_Punishment
"Fiction, Gothic, Historical Fiction, Literature, Historical, Audiobook, School",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1557343311i/10210.jpg,Jane Eyre,Charlotte Brontë,4.15,2225222,https://www.amazon.com/gp/product/B08XF5G5WW/,532,https://www.goodreads.com/book/show/10210.Jane_Eyre
"Fantasy, Fiction, Classics, Childrens, Young Adult, Literature, Adventure",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630487234i/24213.jpg,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.07,590295,https://www.amazon.com/gp/product/B01AQRAND0/,239,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
"Fantasy, Young Adult, Mythology, Fiction, Middle Grade, Adventure, Greek Mythology",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1400602609i/28187.jpg,The Lightning Thief,Rick Riordan,4.31,3277743,https://www.amazon.com/gp/product/B00280LYIC/,377,https://www.goodreads.com/book/show/28187.The_Lightning_Thief
"Classics, Historical Fiction, Fiction, Romance, Historical, War, Literature",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1551144577i/18405.jpg,Gone with the Wind,Margaret Mitchell,4.31,1249887,https://www.amazon.com/gp/product/B00YXJ6GWK/,1037,https://www.goodreads.com/book/show/18405.Gone_with_the_Wind
"Classics, Fiction, Horror, Gothic, Fantasy, Literature, Dark Academia",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546103428i/5297.jpg,The Picture of Dorian Gray,Oscar Wilde,4.13,1731799,https://www.amazon.com/gp/product/B0084AXZK0/,272,https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray
"Childrens, Classics, Fiction, Picture Books, Poetry, Young Adult, Fantasy",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1725807591i/370493.jpg,The Giving Tree,Shel Silverstein,4.38,1194290,https://www.amazon.com/gp/product/B00DB2QZPI/,64,https://www.goodreads.com/book/show/370493.The_Giving_Tree
"Young Adult, Fiction, Classics, Coming Of Age, Romance, Mental Health, Realistic Fiction",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1650033115i/22628.jpg,The Perks of Being a Wallflower,Stephen Chbosky,4.23,1917054,https://www.amazon.com/gp/product/B003TSEEDY/,213,https://www.goodreads.com/book/show/22628.The_Perks_of_Being_a_Wallflower
"Fiction, Gothic, Historical Fiction, Literature, Historical, Novels, 19th Century",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1388212715i/6185.jpg,Wuthering Heights,Emily Brontë,3.9,1927928,https://www.amazon.com/gp/product/B0C6HJW5PD/,464,https://www.goodreads.com/book/show/6185.Wuthering_Heights
"Fantasy, Classics, Fiction, Young Adult, Childrens, Christian, Middle Grade",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1661032875i/11127.jpg,The Chronicles of Narnia,C.S. Lewis,4.28,687676,https://www.amazon.com/gp/product/B008LUYSAE/,767,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
"Fiction, Dystopia, Fantasy, School, Literature, Science Fiction, Novels",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1325861570i/170448.jpg,Animal Farm,George Orwell,4.0,4250516,https://www.amazon.com/gp/product/B08Y62VW9M/,141,https://www.goodreads.com/book/show/170448.Animal_Farm
"Classics, Fiction, Fantasy, Childrens, France, Philosophy, Young Adult",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1367545443i/157993.jpg,The Little Prince,Antoine de Saint-Exupéry,4.33,2315252,https://www.amazon.com/gp/product/B0BPR1HQGX/,96,https://www.goodreads.com/book/show/157993.The_Little_Prince
"Fantasy, Fiction, Classics, Adventure, Science Fiction Fantasy, Epic Fantasy, High Fantasy",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1656625315i/30.jpg,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.61,139994,https://www.amazon.com/gp/product/B09JF7NBT4/,1728,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set
"Fantasy, Young Adult, Romance, Fiction, Vampires, Paranormal, Paranormal Romance",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1700522826i/41865.jpg,Twilight,Stephenie Meyer,3.66,7024585,https://www.amazon.com/gp/product/B000QRIGLW/,498,https://www.goodreads.com/book/show/41865.Twilight
"Fiction, Historical Fiction, Historical, Literature, Audiobook, Novels, Historical Romance",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1320399351i/1885.jpg,Pride and Prejudice,Jane Austen,4.29,4534202,https://www.amazon.com/gp/product/B09F9LRW8Y/,279,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice
"Historical Fiction, Fiction, Young Adult, Classics, Historical, Book Club, War",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1522157426i/19063.jpg,The Book Thief,Markus Zusak,4.39,2756781,https://www.amazon.com/gp/product/B000XUBFE2/,592,https://www.goodreads.com/book/show/19063.The_Book_Thief
"Fantasy, Young Adult, Fiction, Magic, Audiobook, Childrens, Adventure",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1546910265i/2.jpg,Harry Potter and the Order of the Phoenix,J.K. Rowling,4.5,3630813,https://www.amazon.com/gp/product/B08GX7WNLR/,912,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix
"Young Adult, Fiction, Contemporary, Realistic Fiction, Book Club, Coming Of Age, Teen",https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1660273739i/11870085.jpg,The Fault in Our Stars,John Green,4.13,5497766,https://www.amazon.com/gp/product/B005ZOBNOI/,313,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars
